Language,Checkpoint #,Instructions Delta,Virtual Time Delta us,NVM Writes,Est Energy uJ
Rust,6,5896,63700.0,8,8.51235
Rust,7,5896,73300.0,8,8.51235
Rust,8,5896,83300.0,8,8.51235
Rust,9,5896,93700.0,8,8.51235
Rust,10,5896,104200.0,8,8.51235
Rust,11,5896,115700.0,8,8.51235
Rust,12,5896,128500.0,8,8.51235
Rust,13,5896,142800.0,8,8.51235
Rust,14,5896,158800.0,8,8.51235
Rust,15,5896,175200.0,8,8.51235
Rust,16,5896,191900.0,8,8.51235
Rust,17,5896,211600.0,8,8.51235
Rust,18,5896,232000.0,8,8.51235
Rust,19,5896,253500.0,8,8.51235
Rust,20,5896,275600.0,8,8.51235
Rust,21,5896,298000.0,8,8.51235
Rust,22,5896,320600.0,8,8.51235
Rust,23,5896,343500.0,8,8.51235
Rust,24,5896,366900.0,8,8.51235
Rust,25,5896,390800.0,8,8.51235
Rust,26,5896,415899.9,8,8.51235
Rust,27,5896,442999.9,8,8.51235
Rust,28,5896,471199.9,8,8.51235
Rust,29,5896,499699.9,8,8.51235
Rust,30,5896,529399.9,8,8.51235
Rust,31,5896,559499.9,8,8.51235
Rust,32,5896,593999.9,8,8.51235
Rust,33,5896,628899.9,8,8.51235
Rust,34,5896,664199.9,8,8.51235
Rust,35,5896,700599.9,8,8.51235
Rust,36,5896,737399.9,8,8.51235
Rust,37,5896,774499.9,8,8.51235
Rust,38,5896,811899.9,8,8.51235
Rust,39,5896,849899.9,8,8.51235
Rust,40,5896,888699.9,8,8.51235
Rust,41,5896,927699.9,8,8.51235
Rust,42,5896,970699.9,8,8.51235
Rust,43,5896,1013999.9,8,8.51235
Rust,44,5896,1059999.9,8,8.51235
Rust,45,5896,1106499.9,8,8.51235
Rust,46,5896,1153599.9,8,8.51235
Rust,47,5896,1205399.9,8,8.51235
Rust,48,5896,1260399.9,8,8.51235
Rust,49,5896,1316299.9,8,8.51235
Rust,50,50181,50000.0,8,72.448819
Rust,51,5896,1372899.9,8,8.51235
Rust,52,50181,50000.0,8,72.448819
Rust,53,5896,1430399.9,8,8.51235
Rust,54,50181,50000.0,8,72.448819
Rust,55,5896,1489599.9,8,8.51235
Rust,56,50181,50000.0,8,72.448819
Rust,57,5896,1549999.9,8,8.51235
Rust,58,50181,50000.0,8,72.448819
Rust,59,5896,1610499.9,8,8.51235
Rust,60,50181,50000.0,8,72.448819
Rust,61,5896,1672199.9,8,8.51235
Rust,62,50181,50000.0,8,72.448819
Rust,63,5896,1734099.9,8,8.51235
Rust,64,50181,50000.0,8,72.448819
Rust,65,5896,1797499.9,8,8.51235
Rust,66,50181,50000.0,8,72.448819
Rust,67,5896,1861899.9,8,8.51235
Rust,68,50181,50000.0,8,72.448819
Rust,69,5896,1926999.9,8,8.51235
Rust,70,50181,50000.0,8,72.448819
Rust,71,5896,1992499.9,8,8.51235
Rust,72,50181,50000.0,8,72.448819
Rust,73,5896,2059099.9,8,8.51235
Rust,74,50181,50000.0,8,72.448819
Rust,75,5896,2126899.9,8,8.51235
Rust,76,50181,50000.0,8,72.448819
Rust,77,5896,2195599.9,8,8.51235
Rust,78,50181,50000.0,8,72.448819
Rust,79,5896,2264899.9,8,8.51235
Rust,80,50181,50000.0,8,72.448819
Rust,81,5896,2336399.9,8,8.51235
Rust,82,50181,50000.0,8,72.448819
Rust,83,5896,2408299.9,8,8.51235
Rust,84,50181,50000.0,8,72.448819
Rust,85,5896,2480499.9,8,8.51235
Rust,86,50181,50000.0,8,72.448819
Rust,87,5896,2553899.9,8,8.51235
Rust,88,50181,50000.0,8,72.448819
